ano;origem;part;valor
1995;Executivo;1º Decil;572.72
1995;Judiciário;1º Decil;1795.33
1995;Legislativo;1º Decil;999.21
1995;Estadual;1º Decil;645.83
1995;Executivo Estadual;1º Decil;633.65
1995;Judiciário Estadual;1º Decil;1307.91
1995;Legislativo Estadual;1º Decil;1852.19
1995;Federal;1º Decil;1701.91
1995;Executivo Federal;1º Decil;1685.66
1995;Judiciário Federal;1º Decil;3314.45
1995;Legislativo Federal;1º Decil;2652.37
1995;Municipal;1º Decil;479.3
1995;Executivo Municipal;1º Decil;479.3
1995;Legislativo Municipal;1º Decil;593.03
1994;Público;1º Decil;572.22
1994;Executivo;1º Decil;564.22
1994;Judiciário;1º Decil;1544.6
1994;Legislativo;1º Decil;848.33
1994;Estadual;1º Decil;620.24
1994;Executivo Estadual;1º Decil;612.24
1994;Judiciário Estadual;1º Decil;1212.47
1994;Legislativo Estadual;1º Decil;1184.46
1994;Federal;1º Decil;1480.57
1994;Executivo Federal;1º Decil;1436.56
1994;Judiciário Federal;1º Decil;3317.28
1994;Legislativo Federal;1º Decil;3069.19
1994;Municipal;1º Decil;476.18
1994;Executivo Municipal;1º Decil;476.18
1994;Legislativo Municipal;1º Decil;584.23
1993;Público;1º Decil;654.44
1993;Executivo;1º Decil;644.52
1993;Judiciário;1º Decil;1755.09
1993;Legislativo;1º Decil;1046.11
1993;Estadual;1º Decil;664.35
1993;Executivo Estadual;1º Decil;659.4
1993;Judiciário Estadual;1º Decil;1636.1
1993;Legislativo Estadual;1º Decil;1199.8
1993;Federal;1º Decil;1437.78
1993;Executivo Federal;1º Decil;1417.95
1993;Judiciário Federal;1º Decil;3505.21
1993;Legislativo Federal;1º Decil;5176.02
1993;Municipal;1º Decil;589.99
1993;Executivo Municipal;1º Decil;589.99
1993;Legislativo Municipal;1º Decil;768.47
1992;Público;1º Decil;624.88
1992;Executivo;1º Decil;620.39
1992;Judiciário;1º Decil;1577.95
1992;Legislativo;1º Decil;953.06
1992;Estadual;1º Decil;633.88
1992;Executivo Estadual;1º Decil;629.38
1992;Judiciário Estadual;1º Decil;1452.07
1992;Legislativo Estadual;1º Decil;1105.91
1992;Federal;1º Decil;1101.41
1992;Executivo Federal;1º Decil;1074.44
1992;Judiciário Federal;1º Decil;2985.06
1992;Legislativo Federal;1º Decil;5902.68
1992;Municipal;1º Decil;566.44
1992;Executivo Municipal;1º Decil;566.44
1992;Legislativo Municipal;1º Decil;714.8
1991;Público;1º Decil;628.05
1991;Executivo;1º Decil;619.74
1991;Judiciário;1º Decil;1850.89
1991;Legislativo;1º Decil;1068.94
1991;Estadual;1º Decil;673.81
1991;Executivo Estadual;1º Decil;665.49
1991;Judiciário Estadual;1º Decil;1696.99
1991;Legislativo Estadual;1º Decil;1451.6
1991;Federal;1º Decil;1168.76
1991;Executivo Federal;1º Decil;1139.65
1991;Judiciário Federal;1º Decil;3801.6
1991;Legislativo Federal;1º Decil;3485.49
1991;Municipal;1º Decil;536.55
1991;Executivo Municipal;1º Decil;536.55
1991;Legislativo Municipal;1º Decil;694.6
1990;Público;1º Decil;666.75
1990;Executivo;1º Decil;662.36
1990;Judiciário;1º Decil;1982.7
1990;Legislativo;1º Decil;1136.1
1990;Estadual;1º Decil;754.48
1990;Executivo Estadual;1º Decil;745.7
1990;Judiciário Estadual;1º Decil;1820.4
1990;Legislativo Estadual;1º Decil;1513.34
1990;Federal;1º Decil;1438.77
1990;Executivo Federal;1º Decil;1416.84
1990;Judiciário Federal;1º Decil;4987.45
1990;Legislativo Federal;1º Decil;2640.67
1990;Municipal;1º Decil;548.31
1990;Executivo Municipal;1º Decil;548.31
1990;Legislativo Municipal;1º Decil;723.77
1989;Público;1º Decil;782.92
1989;Executivo;1º Decil;777.08
1989;Judiciário;1º Decil;1822.92
1989;Legislativo;1º Decil;1151.01
1989;Estadual;1º Decil;858.88
1989;Executivo Estadual;1º Decil;847.19
1989;Judiciário Estadual;1º Decil;1612.58
1989;Legislativo Estadual;1º Decil;1285.39
1989;Federal;1º Decil;1694.38
1989;Executivo Federal;1º Decil;1659.32
1989;Judiciário Federal;1º Decil;3423.82
1989;Legislativo Federal;1º Decil;3225.16
1989;Municipal;1º Decil;666.07
1989;Executivo Municipal;1º Decil;666.07
1989;Legislativo Municipal;1º Decil;835.5
1988;Público;1º Decil;753.71
1988;Executivo;1º Decil;747.86
1988;Judiciário;1º Decil;1647.64
1988;Legislativo;1º Decil;975.73
1988;Estadual;1º Decil;870.56
1988;Executivo Estadual;1º Decil;864.72
1988;Judiciário Estadual;1º Decil;1583.37
1988;Legislativo Estadual;1º Decil;1086.74
1988;Federal;1º Decil;1332.13
1988;Executivo Federal;1º Decil;1320.45
1988;Judiciário Federal;1º Decil;1776.17
1988;Legislativo Federal;1º Decil;3324.48
1988;Municipal;1º Decil;631.01
1988;Executivo Municipal;1º Decil;631.01
1988;Legislativo Municipal;1º Decil;724.49
1987;Público;1º Decil;756.42
1987;Executivo;1º Decil;750.78
1987;Judiciário;1º Decil;1586.23
1987;Legislativo;1º Decil;1320.92
1987;Estadual;1º Decil;874.97
1987;Executivo Estadual;1º Decil;863.68
1987;Judiciário Estadual;1º Decil;1586.23
1987;Legislativo Estadual;1º Decil;1399.95
1987;Federal;1º Decil;1191.09
1987;Executivo Federal;1º Decil;1179.8
1987;Judiciário Federal;1º Decil;1586.23
1987;Legislativo Federal;1º Decil;3415.2
1987;Municipal;1º Decil;637.88
1987;Executivo Municipal;1º Decil;637.88
1987;Legislativo Municipal;1º Decil;874.97
1986;Público;1º Decil;883.2
1986;Executivo;1º Decil;876.3
1986;Judiciário;1º Decil;1462.8
1986;Legislativo;1º Decil;1587.0
1986;Estadual;1º Decil;1083.3
1986;Executivo Estadual;1º Decil;1083.3
1986;Judiciário Estadual;1º Decil;1207.5
1986;Legislativo Estadual;1º Decil;1656.0
1986;Federal;1º Decil;1276.5
1986;Executivo Federal;1º Decil;1255.8
1986;Judiciário Federal;1º Decil;1925.1
1986;Legislativo Federal;1º Decil;4622.99
1986;Municipal;1º Decil;731.4
1986;Executivo Municipal;1º Decil;731.4
1986;Legislativo Municipal;1º Decil;1000.5
1985;Público;1º Decil;681.84
1985;Executivo;1º Decil;676.39
1985;Judiciário;1º Decil;1003.67
1985;Legislativo;1º Decil;1069.13
1985;Estadual;1º Decil;736.39
1985;Executivo Estadual;1º Decil;730.94
1985;Judiciário Estadual;1º Decil;970.94
1985;Legislativo Estadual;1º Decil;1030.95
1985;Federal;1º Decil;1025.49
1985;Executivo Federal;1º Decil;1009.13
1985;Judiciário Federal;1º Decil;1521.87
1985;Legislativo Federal;1º Decil;3949.23
1985;Municipal;1º Decil;594.57
1985;Executivo Municipal;1º Decil;594.57
1985;Legislativo Municipal;1º Decil;785.48
2019;Público;2º Decil;1467.06
2019;Executivo;2º Decil;1447.1
2019;Judiciário;2º Decil;6037.9
2019;Legislativo;2º Decil;1586.82
2019;Estadual;2º Decil;1986.02
2019;Executivo Estadual;2º Decil;1916.16
2019;Judiciário Estadual;2º Decil;5459.06
2019;Legislativo Estadual;2º Decil;1996.0
2019;Federal;2º Decil;4121.74
2019;Executivo Federal;2º Decil;3932.12
2019;Judiciário Federal;2º Decil;10838.28
2019;Legislativo Federal;2º Decil;2534.92
2019;Municipal;2º Decil;1297.4
2019;Executivo Municipal;2º Decil;1297.4
2019;Legislativo Municipal;2º Decil;1387.22
2018;Público;2º Decil;1411.98
2018;Executivo;2º Decil;1392.64
2018;Judiciário;2º Decil;6421.62
2018;Legislativo;2º Decil;1508.69
2018;Estadual;2º Decil;1905.21
2018;Executivo Estadual;2º Decil;1847.18
2018;Judiciário Estadual;2º Decil;5705.96
2018;Legislativo Estadual;2º Decil;1818.17
2018;Federal;2º Decil;3201.14
2018;Executivo Federal;2º Decil;3104.43
2018;Judiciário Federal;2º Decil;9680.79
2018;Legislativo Federal;2º Decil;2437.12
2018;Municipal;2º Decil;1237.9
2018;Executivo Municipal;2º Decil;1237.9
2018;Legislativo Municipal;2º Decil;1344.29
2017;Público;2º Decil;1397.16
2017;Executivo;2º Decil;1377.62
2017;Judiciário;2º Decil;6419.13
2017;Legislativo;2º Decil;1514.41
2017;Estadual;2º Decil;1827.06
2017;Executivo Estadual;2º Decil;1778.21
2017;Judiciário Estadual;2º Decil;5617.96
2017;Legislativo Estadual;2º Decil;1875.91
2017;Federal;2º Decil;3351.23
2017;Executivo Federal;2º Decil;3155.83
2017;Judiciário Federal;2º Decil;9369.78
2017;Legislativo Federal;2º Decil;2432.82
2017;Municipal;2º Decil;1240.84
2017;Executivo Municipal;2º Decil;1240.84
2017;Legislativo Municipal;2º Decil;1338.54
2016;Público;2º Decil;1370.36
2016;Executivo;2º Decil;1351.46
2016;Judiciário;2º Decil;6246.94
2016;Legislativo;2º Decil;1445.96
2016;Estadual;2º Decil;1814.54
2016;Executivo Estadual;2º Decil;1767.29
2016;Judiciário Estadual;2º Decil;5660.99
2016;Legislativo Estadual;2º Decil;1663.33
2016;Federal;2º Decil;3203.8
2016;Executivo Federal;2º Decil;3043.14
2016;Judiciário Federal;2º Decil;8477.31
2016;Legislativo Federal;2º Decil;2438.29
2016;Municipal;2º Decil;1209.69
2016;Executivo Municipal;2º Decil;1209.69
2016;Legislativo Municipal;2º Decil;1285.3
2015;Público;2º Decil;1388.36
2015;Executivo;2º Decil;1369.85
2015;Judiciário;2º Decil;6090.29
2015;Legislativo;2º Decil;1508.69
2015;Estadual;2º Decil;1869.66
2015;Executivo Estadual;2º Decil;1823.38
2015;Judiciário Estadual;2º Decil;5497.92
2015;Legislativo Estadual;2º Decil;1851.15
2015;Federal;2º Decil;3498.68
2015;Executivo Federal;2º Decil;3322.82
2015;Judiciário Federal;2º Decil;8820.74
2015;Legislativo Federal;2º Decil;2295.43
2015;Municipal;2º Decil;1203.25
2015;Executivo Municipal;2º Decil;1203.25
2015;Legislativo Municipal;2º Decil;1305.06
2014;Público;2º Decil;1384.74
2014;Executivo;2º Decil;1356.86
2014;Judiciário;2º Decil;6059.38
2014;Legislativo;2º Decil;1505.55
2014;Estadual;2º Decil;1886.59
2014;Executivo Estadual;2º Decil;1830.83
2014;Judiciário Estadual;2º Decil;5594.71
2014;Legislativo Estadual;2º Decil;1923.76
